id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.50,80,0.59,0.60,1
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Afterglow Drive,Neon Echo,synthwave,relaxed,0.68,108,0.66,0.77,0.30
12,Pixel Sunset,Cosmic Pulse,electronic,happy,0.88,126,0.79,0.84,0.15
13,Quiet Harbor,Paper Lanterns,ambient,chill,0.33,62,0.52,0.39,0.91
14,Thunder Road,Voltline,rock,intense,0.95,148,0.40,0.70,0.08
15,Moonlit Cafe,Slow Stereo,jazz,relaxed,0.45,86,0.73,0.50,0.82
